,id,school_name,sex,age,address,family_size,parent_status,mother_education,father_education,mother_job,father_job,reason,guardian,travel_time,study_time,class_failures,extra_edu_support,family_edu_support,paid_tutors,extra_curic,nursery_school,higher_edu_interest,internet_access,romantic_rel_interest,qual_family_rel,free_time,go_out,work_alc_consum,weekend_alc_consum,health_status,num_absences,term_1_grade,term_2_grade,final_grade
15,15,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,Higher education,health,other,home,mother,<=15 min,<2 hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14
16,16,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,Higher education,services,services,reputation,mother,<=15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
17,17,Gabriel Pereira,Female,16,Urban,>3,Together,Secondary education,Secondary education,other,other,reputation,mother,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
18,18,Gabriel Pereira,Male,17,Urban,>3,Together,Secondary education,5-9th grade,services,services,course,mother,<=15 min,<2 hours,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
19,19,Gabriel Pereira,Male,16,Urban,<=3,Together,Higher education,Secondary education,health,other,home,father,<=15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
20,20,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Secondary education,teacher,other,reputation,mother,<=15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15
21,21,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,health,health,other,father,<=15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15
22,22,Gabriel Pereira,Male,16,Urban,<=3,Together,Higher education,5-9th grade,teacher,other,course,mother,<=15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16
23,23,Gabriel Pereira,Male,16,Urban,<=3,Together,5-9th grade,5-9th grade,other,other,reputation,mother,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12
24,24,Gabriel Pereira,Female,15,Rural,>3,Together,5-9th grade,Higher education,services,health,course,mother,<=15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
25,25,Gabriel Pereira,Female,16,Urban,>3,Together,5-9th grade,5-9th grade,services,services,home,mother,<=15 min,<2 hours,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8
26,26,Gabriel Pereira,Male,15,Urban,>3,Together,5-9th grade,5-9th grade,other,other,home,mother,<=15 min,<2 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11
27,27,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,5-9th grade,health,services,other,mother,<=15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15
28,28,Gabriel Pereira,Male,16,Urban,<=3,Apart,Secondary education,Higher education,services,other,home,mother,<=15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11
29,29,Gabriel Pereira,Male,16,Urban,>3,Together,Higher education,Higher education,teacher,teacher,home,mother,<=15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
30,30,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,health,services,home,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12
31,31,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,services,services,reputation,mother,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17
32,32,Gabriel Pereira,Male,15,Rural,>3,Together,Higher education,Secondary education,teacher,at_home,course,mother,<=15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
33,33,Gabriel Pereira,Male,15,Urban,<=3,Together,Secondary education,Secondary education,other,other,course,mother,<=15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12
34,34,Gabriel Pereira,Male,16,Urban,>3,Together,Secondary education,5-9th grade,other,other,home,mother,<=15 min,<2 hours,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15
35,35,Gabriel Pereira,Female,15,Urban,>3,Together,5-9th grade,Secondary education,other,other,other,father,15 to 30 min,<2 hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6
36,36,Gabriel Pereira,Male,15,Urban,<=3,Together,Higher education,Secondary education,teacher,services,home,mother,<=15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18
37,37,Gabriel Pereira,Male,16,Rural,>3,Apart,Higher education,Higher education,other,teacher,reputation,mother,15 to 30 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
38,38,Gabriel Pereira,Female,15,Rural,>3,Together,Secondary education,Higher education,services,health,course,mother,<=15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
39,39,Gabriel Pereira,Female,15,Rural,>3,Together,5-9th grade,5-9th grade,at_home,other,reputation,mother,<=15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13
40,40,Gabriel Pereira,Female,16,Urban,<=3,Together,5-9th grade,5-9th grade,other,other,home,mother,15 to 30 min,2 to 5 hours,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
41,41,Gabriel Pereira,Male,15,Urban,<=3,Together,Higher education,Higher education,teacher,other,home,other,<=15 min,<2 hours,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12
42,42,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,services,teacher,course,father,<=15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18
43,43,Gabriel Pereira,Male,15,Urban,>3,Together,5-9th grade,5-9th grade,services,services,course,father,<=15 min,<2 hours,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11
44,44,Gabriel Pereira,Female,16,Urban,<=3,Together,5-9th grade,5-9th grade,other,at_home,course,father,15 to 30 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9
45,45,Gabriel Pereira,Female,15,Urban,<=3,Apart,Higher education,Secondary education,other,other,course,mother,<=15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
46,46,Gabriel Pereira,Female,16,Urban,<=3,Apart,Secondary education,Secondary education,other,services,home,mother,<=15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11
47,47,Gabriel Pereira,Male,16,Urban,>3,Together,Higher education,Secondary education,health,services,reputation,mother,<=15 min,>10 hours,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20
48,48,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,5-9th grade,teacher,other,home,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14
49,49,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,Higher education,services,teacher,other,father,<=15 min,2 to 5 hours,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7
50,50,Gabriel Pereira,Female,16,Urban,<=3,Together,5-9th grade,5-9th grade,services,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13
51,51,Gabriel Pereira,Female,15,Urban,<=3,Together,Higher education,5-9th grade,health,other,other,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13
52,52,Gabriel Pereira,Male,15,Urban,<=3,Apart,Higher education,5-9th grade,health,health,other,father,15 to 30 min,<2 hours,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10
53,53,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,Higher education,services,services,course,mother,<=15 min,<2 hours,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11
54,54,Gabriel Pereira,Female,15,Urban,<=3,Apart,Secondary education,Secondary education,other,other,other,mother,<=15 min,<2 hours,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13
55,55,Gabriel Pereira,Female,16,Urban,>3,Apart,5-9th grade,Primary (4th grade),other,other,other,mother,<=15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10
56,56,Gabriel Pereira,Female,15,Urban,>3,Apart,Higher education,Secondary education,services,services,reputation,mother,<=15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15
57,57,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,teacher,health,reputation,mother,<=15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15
58,58,Gabriel Pereira,Male,15,Urban,<=3,Together,Primary (4th grade),5-9th grade,other,at_home,home,father,<=15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9
59,59,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,5-9th grade,services,other,course,mother,<=15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16
60,60,Gabriel Pereira,Female,16,Rural,>3,Together,Higher education,Higher education,health,teacher,other,mother,<=15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11
61,61,Gabriel Pereira,Female,16,Urban,>3,Together,Primary (4th grade),Primary (4th grade),services,services,course,father,>1 hour,<2 hours,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11
62,62,Gabriel Pereira,Female,16,Urban,<=3,Together,Primary (4th grade),5-9th grade,other,services,reputation,father,<=15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9
63,63,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,Secondary education,teacher,health,home,mother,<=15 min,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9
64,64,Gabriel Pereira,Female,15,Urban,<=3,Together,Higher education,Secondary education,services,services,reputation,father,<=15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10
65,65,Gabriel Pereira,Female,16,Urban,<=3,Together,Higher education,Secondary education,teacher,services,course,mother,30 min. to 1 hour,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15
66,66,Gabriel Pereira,Male,15,Urban,>3,Apart,Higher education,Higher education,other,services,reputation,mother,<=15 min,>10 hours,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
67,67,Gabriel Pereira,Female,16,Urban,>3,Together,Secondary education,Primary (4th grade),services,other,course,mother,<=15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6
68,68,Gabriel Pereira,Female,15,Rural,<=3,Together,5-9th grade,5-9th grade,health,services,reputation,mother,15 to 30 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8
69,69,Gabriel Pereira,Female,15,Rural,<=3,Together,Secondary education,Primary (4th grade),other,other,reputation,father,15 to 30 min,>10 hours,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16
70,70,Gabriel Pereira,Male,16,Urban,>3,Together,Secondary education,Primary (4th grade),other,other,reputation,father,15 to 30 min,>10 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15
71,71,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,5-9th grade,other,other,course,mother,<=15 min,>10 hours,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10
72,72,Gabriel Pereira,Female,15,Rural,>3,Together,Primary (4th grade),Primary (4th grade),other,other,reputation,mother,<=15 min,2 to 5 hours,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5
73,73,Gabriel Pereira,Male,16,Urban,>3,Together,Secondary education,Primary (4th grade),other,other,reputation,mother,<=15 min,<2 hours,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14
74,74,Gabriel Pereira,Female,16,Urban,>3,Together,Secondary education,Secondary education,other,services,home,mother,<=15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
75,75,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Secondary education,teacher,other,home,mother,<=15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
76,76,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,No education,teacher,other,course,mother,15 to 30 min,>10 hours,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10
77,77,Gabriel Pereira,Female,16,Urban,>3,Together,5-9th grade,5-9th grade,other,other,reputation,mother,<=15 min,>10 hours,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11
78,78,Gabriel Pereira,Male,17,Urban,>3,Together,5-9th grade,Primary (4th grade),other,other,home,mother,15 to 30 min,<2 hours,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10
79,79,Gabriel Pereira,Female,16,Urban,>3,Together,Secondary education,Higher education,at_home,other,course,mother,<=15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5
80,80,Gabriel Pereira,Male,15,Urban,>3,Together,5-9th grade,Secondary education,other,services,course,father,<=15 min,<2 hours,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
81,81,Gabriel Pereira,Male,15,Urban,>3,Together,5-9th grade,Secondary education,other,other,home,mother,<=15 min,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11
82,82,Gabriel Pereira,Female,15,Urban,<=3,Together,Secondary education,5-9th grade,services,other,reputation,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6
83,83,Gabriel Pereira,Male,15,Urban,<=3,Together,5-9th grade,5-9th grade,services,services,home,mother,15 to 30 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15
84,84,Gabriel Pereira,Female,15,Urban,>3,Together,Primary (4th grade),Primary (4th grade),other,other,home,father,<=15 min,2 to 5 hours,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10
85,85,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,Higher education,services,services,reputation,father,15 to 30 min,2 to 5 hours,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8
86,86,Gabriel Pereira,Female,16,Urban,<=3,Together,5-9th grade,5-9th grade,at_home,other,course,mother,<=15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6
87,87,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,5-9th grade,other,other,reputation,mother,<=15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14
88,88,Gabriel Pereira,Male,16,Urban,>3,Together,5-9th grade,5-9th grade,services,other,reputation,father,15 to 30 min,2 to 5 hours,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10
89,89,Gabriel Pereira,Male,16,Urban,<=3,Apart,Higher education,Higher education,teacher,health,reputation,mother,<=15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7
90,90,Gabriel Pereira,Female,16,Urban,>3,Together,Secondary education,Secondary education,other,other,home,mother,<=15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8
91,91,Gabriel Pereira,Female,15,Urban,>3,Together,Higher education,Secondary education,services,other,reputation,mother,<=15 min,<2 hours,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18
92,92,Gabriel Pereira,Female,16,Urban,<=3,Together,Secondary education,Primary (4th grade),other,other,home,father,<=15 min,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6
93,93,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,5-9th grade,teacher,services,home,mother,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10
94,94,Gabriel Pereira,Male,15,Urban,<=3,Together,5-9th grade,5-9th grade,services,health,reputation,mother,<=15 min,>10 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14
95,95,Gabriel Pereira,Female,15,Rural,>3,Together,Primary (4th grade),Primary (4th grade),at_home,other,home,mother,15 to 30 min,>10 hours,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10
96,96,Gabriel Pereira,Male,16,Rural,>3,Together,Higher education,Secondary education,services,other,reputation,mother,15 to 30 min,<2 hours,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15
97,97,Gabriel Pereira,Female,16,Urban,>3,Together,5-9th grade,Primary (4th grade),other,other,course,mother,<=15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10
98,98,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,Higher education,other,other,reputation,mother,<=15 min,<2 hours,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14
99,99,Gabriel Pereira,Female,16,Urban,>3,Together,Higher education,Secondary education,other,at_home,course,mother,<=15 min,5 to 10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8
100,100,Gabriel Pereira,Male,16,Urban,>3,Together,Higher education,Higher education,services,services,other,mother,<=15 min,<2 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5
101,101,Gabriel Pereira,Male,16,Urban,>3,Together,Higher education,Higher education,services,teacher,other,father,<=15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17
102,102,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,services,other,course,mother,<=15 min,<2 hours,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14
103,103,Gabriel Pereira,Female,15,Urban,>3,Together,Secondary education,5-9th grade,services,other,home,mother,15 to 30 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6
104,104,Gabriel Pereira,Male,15,Urban,>3,Apart,Secondary education,Higher education,services,other,course,mother,<=15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18
105,105,Gabriel Pereira,Female,15,Urban,>3,Apart,Secondary education,Secondary education,other,health,reputation,father,<=15 min,>10 hours,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11
106,106,Gabriel Pereira,Female,15,Urban,>3,Together,5-9th grade,5-9th grade,other,other,course,mother,<=15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8
107,107,Gabriel Pereira,Male,16,Urban,>3,Together,Secondary education,Secondary education,services,other,home,father,<=15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18
108,108,Gabriel Pereira,Male,15,Rural,>3,Together,Higher education,Higher education,other,other,home,father,>1 hour,>10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13
109,109,Gabriel Pereira,Female,16,Urban,<=3,Together,Higher education,Higher education,health,health,other,mother,<=15 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16
110,110,Gabriel Pereira,Male,15,Urban,<=3,Apart,Higher education,Higher education,teacher,teacher,course,mother,<=15 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19
111,111,Gabriel Pereira,Female,16,Rural,>3,Together,Secondary education,Secondary education,services,other,reputation,father,<=15 min,5 to 10 hours,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10
112,112,Gabriel Pereira,Female,16,Urban,>3,Together,5-9th grade,5-9th grade,at_home,other,home,mother,<=15 min,2 to 5 hours,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13
113,113,Gabriel Pereira,Male,15,Urban,<=3,Together,Higher education,5-9th grade,teacher,other,course,mother,<=15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19
114,114,Gabriel Pereira,Male,15,Rural,>3,Together,5-9th grade,Primary (4th grade),health,services,reputation,mother,<=15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9
115,115,Gabriel Pereira,Male,16,Urban,>3,Together,Higher education,Higher education,teacher,teacher,course,father,<=15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16
116,116,Gabriel Pereira,Male,15,Urban,>3,Together,Higher education,Higher education,other,teacher,reputation,father,15 to 30 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14
117,117,Gabriel Pereira,Male,16,Urban,>3,Together,Secondary education,Secondary education,other,services,home,father,15 to 30 min,<2 hours,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13
118,118,Gabriel Pereira,Male,17,Rural,>3,Together,Primary (4th grade),Secondary education,other,other,course,father,30 min. to 1 hour,2 to 5 hours,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8
119,119,Gabriel Pereira,Male,15,Urban,>3,Together,Secondary education,Higher education,other,other,reputation,father,<=15 min,<2 hours,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13
120,120,Gabriel Pereira,Female,15,Urban,>3,Together,Primary (4th grade),5-9th grade,at_home,services,course,mother,<=15 min,2 to 5 hours,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15
121,121,Gabriel Pereira,Male,15,Urban,>3,Together,5-9th grade,5-9th grade,services,services,home,father,<=15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15
122,122,Gabriel Pereira,Female,16,Urban,<=3,Together,5-9th grade,Higher education,other,health,course,father,15 to 30 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13
123,123,Gabriel Pereira,Male,16,Urban,>3,Together,Higher education,Higher education,health,other,course,mother,<=15 min,<2 hours,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13
